N	numinstance	numrun	fitness	budget
100	4	62	5303	7776
100	4	63	5301	5597
100	4	64	5253	7278
100	4	65	5303	7277
100	4	66	5249	6262
100	4	67	5303	6667
100	4	68	5303	6488
100	4	69	5303	7219
100	4	70	5303	5811
100	4	71	5253	5534
100	4	72	5303	8436
100	4	73	5303	6505
100	4	74	5253	6669
100	4	75	5303	6261
100	4	76	5253	6437
100	4	77	5303	5490
100	4	78	5217	6752
100	4	79	5303	6436
100	4	80	5303	7175
100	4	81	5303	6297
100	4	82	5303	7244
100	4	83	5303	7612
100	4	84	5303	5612
100	4	85	5303	6634
100	4	86	5303	6386
100	4	87	5303	6800
100	4	88	5227	6701
100	4	89	5227	7403
100	4	90	5303	6728
100	4	91	5303	6407
100	4	92	5303	7716
100	4	93	5114	6073
100	4	94	5249	4657
100	4	95	5219	5695
100	4	96	5303	7227
100	4	97	5303	7648
100	4	98	5303	7926
100	4	99	5303	6353
100	4	100	5249	6409
100	4	101	5093	6985
100	4	102	5219	5370
100	4	103	5219	6164
100	4	104	5303	6673
100	4	105	5253	6381
100	4	106	5219	6378
100	4	107	5303	5525
100	4	108	5303	7488
100	4	109	5303	7234
100	4	110	5303	6576
100	4	111	5303	6658
100	4	112	5253	6180
100	4	113	5303	7774
100	4	114	5160	5761
100	4	115	5303	6649
100	4	116	5249	6384
100	4	117	5303	6332
100	4	118	5303	8514
100	4	119	5303	6039
100	4	120	5303	6846
100	4	121	5303	6924
100	4	122	5303	5211
100	4	123	5303	6817
100	4	124	5303	6520
100	4	125	5303	7338
100	4	126	5086	6252
100	4	127	5227	6182
100	4	128	5303	6393
100	4	129	5219	6560
100	4	130	5303	5388
100	4	131	5303	7434
100	4	132	5205	6795
100	4	133	5303	7797
100	4	134	5249	6073
100	4	135	5303	6948
100	4	136	5303	4704
100	4	137	5303	8098
100	4	138	5303	6696
100	4	139	5253	5586
100	4	140	5205	6280
100	4	141	5303	6320
100	4	142	5253	7269
100	4	143	5303	6506
100	4	144	5303	7075
100	4	145	5253	7139
100	4	146	5303	6461
100	4	147	5303	6136
100	4	148	5253	5158
100	4	149	5253	5389
100	4	150	5303	6256
100	5	0	4498	5560
100	5	1	4498	5940
100	5	2	4447	5677
100	5	3	4395	6194
100	5	4	4447	6918
100	5	5	4380	7189
100	5	6	4498	6908
100	5	7	4498	7079
100	5	8	4497	6725
100	5	9	4497	6831
100	5	10	4497	7086
100	5	11	4498	6908
100	5	12	4498	5920
100	5	13	4498	5840
100	5	14	4418	5782
100	5	15	4289	7166
100	5	16	4474	6351
100	5	17	4447	6320
100	5	18	4497	7190
100	5	19	4393	6692
100	5	20	4472	6456
100	5	21	4467	7583
100	5	22	4474	4884
100	5	23	4447	6984
100	5	24	4498	6825
100	5	25	4380	6903
100	5	26	4387	7054
100	5	27	4474	6917
100	5	28	4455	4740
100	5	29	4474	6529
100	5	30	4474	6790
100	5	31	4403	6794
100	5	32	4346	6343
100	5	33	4418	6135
100	5	34	4497	7211
100	5	35	4497	7013
100	5	36	4498	7920
100	5	37	4472	7442
100	5	38	4498	6795
100	5	39	4456	7350
100	5	40	4462	5982
100	5	41	4332	7210
100	5	42	4462	6077
100	5	43	4498	6487
100	5	44	4474	7749
100	5	45	4462	4955
100	5	46	4498	8203
100	5	47	4403	6015
100	5	48	4498	6571
100	5	49	4345	6091
100	5	50	4498	6759
100	5	51	4497	5928
100	5	52	4497	6477
100	5	53	4497	6475
100	5	54	4456	6342
100	5	55	4497	5507
100	5	56	4472	8435
100	5	57	4402	6013
100	5	58	4467	5767
100	5	59	4498	6386
100	5	60	4340	5141
100	5	61	4498	6188
100	5	62	4474	5795
100	5	63	4497	6466
100	5	64	4345	6030
100	5	65	4498	6483
100	5	66	4498	6631
100	5	67	4498	6334
100	5	68	4498	5928
100	5	69	4497	7947
100	5	70	4497	6327
100	5	71	4405	5336
100	5	72	4498	6261
100	5	73	4474	6081
100	5	74	4498	6255
100	5	75	4402	6080
100	5	76	4474	7171
100	5	77	4474	5223
