N	numinstance	numrun	fitness	budget	comment
100	3	26	6449	13215	numrun=seed
100	3	27	6478	11679	numrun=seed
100	3	28	6449	10071	numrun=seed
100	3	29	6449	10322	numrun=seed
100	3	30	6478	12072	numrun=seed
100	3	31	6478	10325	numrun=seed
100	3	32	6478	10958	numrun=seed
100	3	33	6478	10779	numrun=seed
100	3	34	6422	12082	numrun=seed
100	3	35	6478	10533	numrun=seed
100	3	36	6478	10629	numrun=seed
100	3	37	6478	10860	numrun=seed
100	3	38	6478	13042	numrun=seed
100	3	39	6478	10759	numrun=seed
100	3	40	6449	10175	numrun=seed
100	3	41	6478	12993	numrun=seed
100	3	42	6449	9850	numrun=seed
100	3	43	6449	12527	numrun=seed
100	3	44	6478	11997	numrun=seed
100	3	45	6478	10906	numrun=seed
100	3	46	6449	11634	numrun=seed
100	3	47	6449	10469	numrun=seed
100	3	48	6478	9995	numrun=seed
100	3	49	6478	11042	numrun=seed
100	3	50	6478	10976	numrun=seed
100	3	51	6478	9193	numrun=seed
100	3	52	6478	10613	numrun=seed
100	3	53	6449	9767	numrun=seed
100	3	54	6449	9873	numrun=seed
100	3	55	6451	10003	numrun=seed
100	3	56	6478	12578	numrun=seed
100	3	57	6478	11719	numrun=seed
100	3	58	6478	9269	numrun=seed
100	3	59	6451	12336	numrun=seed
100	3	60	6449	11148	numrun=seed
100	3	61	6478	9985	numrun=seed
100	3	62	6449	13325	numrun=seed
100	3	63	6449	10968	numrun=seed
100	3	64	6478	10479	numrun=seed
100	3	65	6449	12183	numrun=seed
100	3	66	6478	12576	numrun=seed
100	3	67	6478	10840	numrun=seed
100	3	68	6478	11025	numrun=seed
100	3	69	6478	10684	numrun=seed
100	3	70	6478	8731	numrun=seed
100	3	71	6449	10523	numrun=seed
100	3	72	6449	10159	numrun=seed
100	3	73	6449	11212	numrun=seed
100	3	74	6478	9918	numrun=seed
100	3	75	6449	12796	numrun=seed
100	3	76	6478	10668	numrun=seed
100	3	77	6449	10702	numrun=seed
100	3	78	6449	11691	numrun=seed
100	3	79	6449	10065	numrun=seed
100	3	80	6449	11152	numrun=seed
100	3	81	6478	12290	numrun=seed
100	3	82	6478	9820	numrun=seed
100	3	83	6422	12576	numrun=seed
100	3	84	6449	11501	numrun=seed
100	3	85	6449	9408	numrun=seed
100	3	86	6449	11871	numrun=seed
100	3	87	6478	9546	numrun=seed
100	3	88	6449	10427	numrun=seed
100	3	89	6478	11316	numrun=seed
100	4	0	5303	9214	numrun=seed
100	4	1	5303	10811	numrun=seed
100	4	2	5253	10865	numrun=seed
100	4	3	5303	12820	numrun=seed
100	4	4	5249	11847	numrun=seed
100	4	5	5205	8450	numrun=seed
100	4	6	5249	12236	numrun=seed
100	4	7	5205	9465	numrun=seed
100	4	8	5303	11049	numrun=seed
100	4	9	5303	10326	numrun=seed
100	4	10	5303	10859	numrun=seed
100	4	11	5217	10055	numrun=seed
100	4	12	5303	12280	numrun=seed
100	4	13	5253	9626	numrun=seed
100	4	14	5205	9694	numrun=seed
100	4	15	5249	9814	numrun=seed
100	4	16	5253	11507	numrun=seed
100	4	17	5303	10104	numrun=seed
100	4	18	5303	11356	numrun=seed
100	4	19	5303	8643	numrun=seed
100	4	20	5303	10947	numrun=seed
100	4	21	5253	10514	numrun=seed
100	4	22	5303	13547	numrun=seed
100	4	23	5205	8114	numrun=seed
100	4	24	5253	12814	numrun=seed
100	4	25	5303	10148	numrun=seed
100	4	26	5303	10039	numrun=seed
100	4	27	5205	9177	numrun=seed
100	4	28	5303	11602	numrun=seed
100	4	29	5303	13229	numrun=seed
100	4	30	5303	10437	numrun=seed
100	4	31	5303	10161	numrun=seed
100	4	32	5303	10664	numrun=seed
100	4	33	5253	10910	numrun=seed
100	4	34	5217	9112	numrun=seed
100	4	35	5303	10637	numrun=seed
100	4	36	5303	11515	numrun=seed
100	4	37	5303	9617	numrun=seed
100	4	38	5205	10363	numrun=seed
100	4	39	5303	11419	numrun=seed
100	4	40	5217	9987	numrun=seed
100	4	41	5249	10335	numrun=seed
100	4	42	5303	9781	numrun=seed
100	4	43	5203	9194	numrun=seed
100	4	44	5303	10879	numrun=seed
100	4	45	5249	10249	numrun=seed
100	4	46	5303	10980	numrun=seed
100	4	47	5217	8352	numrun=seed
100	4	48	5253	11558	numrun=seed
100	4	49	5249	9408	numrun=seed
100	4	50	5217	10159	numrun=seed
100	4	51	5303	11690	numrun=seed
100	4	52	5303	11743	numrun=seed
100	4	53	5205	11485	numrun=seed
100	4	54	5203	8464	numrun=seed
100	4	55	5249	10446	numrun=seed
100	4	56	5249	9115	numrun=seed
100	4	57	5303	9787	numrun=seed
100	4	58	5303	13102	numrun=seed
100	4	59	5303	9849	numrun=seed
100	4	60	5303	12445	numrun=seed
100	4	61	5303	11645	numrun=seed
100	4	62	5303	10058	numrun=seed
100	4	63	5249	9957	numrun=seed
100	4	64	5303	11556	numrun=seed
100	4	65	5303	11072	numrun=seed
100	4	66	5203	9054	numrun=seed
100	4	67	5303	10661	numrun=seed
100	4	68	5303	10535	numrun=seed
100	4	69	5303	9354	numrun=seed
100	4	70	5205	9523	numrun=seed
100	4	71	5249	9632	numrun=seed
100	4	72	5203	9556	numrun=seed
100	4	73	5303	11582	numrun=seed
100	4	74	5249	10070	numrun=seed
100	4	75	5253	10902	numrun=seed
100	4	76	5303	11382	numrun=seed
100	4	77	5217	10280	numrun=seed
100	4	78	5217	9570	numrun=seed
100	4	79	5303	11570	numrun=seed
100	4	80	5249	11130	numrun=seed
100	4	81	5303	9258	numrun=seed
100	4	82	5303	11757	numrun=seed
100	4	83	5303	11441	numrun=seed
100	4	84	5303	11319	numrun=seed
100	4	85	5303	11174	numrun=seed
100	4	86	5303	10128	numrun=seed
100	4	87	5219	10984	numrun=seed
100	4	88	5253	11023	numrun=seed
100	4	89	5303	10856	numrun=seed
