N	numinstance	numrun	fitness	budget	comment
100	1	96	3730	5813	numrun=seed
100	1	97	3763	4964	numrun=seed
100	1	98	3598	3940	numrun=seed
100	1	99	3854	4800	numrun=seed
100	1	100	3850	4535	numrun=seed
100	1	101	3802	6020	numrun=seed
100	1	102	3854	4585	numrun=seed
100	1	103	3764	4597	numrun=seed
100	1	104	3756	5960	numrun=seed
100	1	105	3718	5692	numrun=seed
100	1	106	3600	4072	numrun=seed
100	1	107	3798	4338	numrun=seed
100	1	108	3677	4892	numrun=seed
100	1	109	3750	4687	numrun=seed
100	1	110	3582	5014	numrun=seed
100	1	111	3875	6457	numrun=seed
100	1	112	3793	4733	numrun=seed
100	1	113	3704	5569	numrun=seed
100	1	114	3843	4826	numrun=seed
100	1	115	3656	5220	numrun=seed
100	1	116	3850	7020	numrun=seed
100	1	117	3823	5156	numrun=seed
100	1	118	3858	4294	numrun=seed
100	1	119	3889	5208	numrun=seed
100	1	120	3604	5816	numrun=seed
100	1	121	3839	5383	numrun=seed
100	1	122	3599	4951	numrun=seed
100	1	123	3767	5634	numrun=seed
100	1	124	3883	5030	numrun=seed
100	1	125	3909	4001	numrun=seed
100	1	126	3809	4697	numrun=seed
100	1	127	3926	6186	numrun=seed
100	1	128	3789	4888	numrun=seed
100	1	129	3894	5824	numrun=seed
100	1	130	3772	4396	numrun=seed
100	1	131	3676	4968	numrun=seed
100	1	132	3724	5277	numrun=seed
100	1	133	3929	6058	numrun=seed
100	1	134	3873	4854	numrun=seed
100	1	135	3873	4776	numrun=seed
100	1	136	3824	5540	numrun=seed
100	1	137	3881	6827	numrun=seed
100	1	138	3926	5106	numrun=seed
100	1	139	3862	3970	numrun=seed
100	1	140	3722	5972	numrun=seed
100	1	141	3883	4717	numrun=seed
100	1	142	3865	5727	numrun=seed
100	1	143	3893	4424	numrun=seed
100	1	144	3890	5058	numrun=seed
100	1	145	3733	4694	numrun=seed
100	1	146	3845	5020	numrun=seed
100	1	147	3642	6191	numrun=seed
100	1	148	3841	5958	numrun=seed
100	1	149	3843	4493	numrun=seed
100	1	150	3916	4583	numrun=seed
100	1	151	3889	5284	numrun=seed
100	1	152	3657	4572	numrun=seed
100	1	153	3882	5617	numrun=seed
100	1	154	3919	5204	numrun=seed
100	1	155	3782	5807	numrun=seed
100	1	156	3709	5735	numrun=seed
100	1	157	3484	5061	numrun=seed
100	1	158	3695	5823	numrun=seed
100	1	159	3488	6060	numrun=seed
100	1	160	3781	5033	numrun=seed
100	1	161	3858	3619	numrun=seed
100	1	162	3727	4104	numrun=seed
100	1	163	3831	5263	numrun=seed
100	1	164	3829	6414	numrun=seed
100	1	165	3716	6204	numrun=seed
100	1	166	3852	5452	numrun=seed
100	1	167	3792	5242	numrun=seed
100	1	168	3686	5183	numrun=seed
100	1	169	3926	5112	numrun=seed
100	1	170	3802	4674	numrun=seed
100	1	171	3711	5528	numrun=seed
100	1	172	3741	5252	numrun=seed
100	1	173	3494	5393	numrun=seed
100	1	174	3662	5751	numrun=seed
100	1	175	3745	6013	numrun=seed
100	1	176	3901	5040	numrun=seed
100	1	177	3791	5018	numrun=seed
100	1	178	3780	5865	numrun=seed
100	1	179	3641	3951	numrun=seed
100	1	180	3847	4627	numrun=seed
100	1	181	3717	5363	numrun=seed
100	1	182	3883	5985	numrun=seed
100	1	183	3793	5035	numrun=seed
100	1	184	3810	5519	numrun=seed
100	1	185	3719	5149	numrun=seed
100	1	186	3492	5599	numrun=seed
100	1	187	3817	5324	numrun=seed
100	1	188	3786	5838	numrun=seed
100	1	189	3643	5289	numrun=seed
100	1	190	3711	4879	numrun=seed
100	1	191	3704	5656	numrun=seed
100	1	192	3872	4899	numrun=seed
100	1	193	3762	4887	numrun=seed
100	1	194	3831	4755	numrun=seed
100	2	0	5455	5860	numrun=seed
100	2	1	5364	5652	numrun=seed
100	2	2	5378	4445	numrun=seed
100	2	3	5504	5612	numrun=seed
100	2	4	5585	6613	numrun=seed
100	2	5	5504	5227	numrun=seed
100	2	6	5432	5774	numrun=seed
100	2	7	5546	5234	numrun=seed
100	2	8	5585	6031	numrun=seed
100	2	9	5443	5643	numrun=seed
100	2	10	5461	4863	numrun=seed
100	2	11	5345	5102	numrun=seed
100	2	12	5382	6323	numrun=seed
100	2	13	5488	6942	numrun=seed
100	2	14	5320	4970	numrun=seed
100	2	15	5167	4811	numrun=seed
100	2	16	5519	6334	numrun=seed
100	2	17	5375	5739	numrun=seed
100	2	18	5446	4999	numrun=seed
100	2	19	5448	5086	numrun=seed
100	2	20	5460	6853	numrun=seed
100	2	21	5447	5541	numrun=seed
100	2	22	5578	4763	numrun=seed
100	2	23	5242	5557	numrun=seed
100	2	24	5504	4694	numrun=seed
100	2	25	5383	5816	numrun=seed
100	2	26	5517	6304	numrun=seed
100	2	27	5253	5922	numrun=seed
100	2	28	5457	5547	numrun=seed
100	2	29	5358	5591	numrun=seed
100	2	30	5410	5643	numrun=seed
100	2	31	5505	4933	numrun=seed
100	2	32	5453	6858	numrun=seed
100	2	33	5377	5685	numrun=seed
100	2	34	5438	4262	numrun=seed
100	2	35	5585	5159	numrun=seed
100	2	36	5333	4466	numrun=seed
100	2	37	5533	4469	numrun=seed
100	2	38	5379	6632	numrun=seed
100	2	39	5519	4595	numrun=seed
100	2	40	5499	5908	numrun=seed
100	2	41	5469	5736	numrun=seed
100	2	42	5528	5650	numrun=seed
100	2	43	5434	4673	numrun=seed
100	2	44	5485	6382	numrun=seed
100	2	45	5411	5414	numrun=seed
100	2	46	5429	6441	numrun=seed
100	2	47	5546	5086	numrun=seed
100	2	48	5346	4772	numrun=seed
100	2	49	5417	6528	numrun=seed
100	2	50	5479	5878	numrun=seed
100	2	51	5558	4695	numrun=seed
100	2	52	5523	5944	numrun=seed
100	2	53	5518	6051	numrun=seed
100	2	54	5438	6788	numrun=seed
100	2	55	5585	6122	numrun=seed
100	2	56	5567	7075	numrun=seed
100	2	57	5439	5494	numrun=seed
100	2	58	5517	5257	numrun=seed
100	2	59	5563	6361	numrun=seed
100	2	60	5419	5607	numrun=seed
100	2	61	5574	4849	numrun=seed
100	2	62	5468	5868	numrun=seed
100	2	63	5578	6067	numrun=seed
100	2	64	5412	4970	numrun=seed
100	2	65	5457	5409	numrun=seed
100	2	66	5494	5286	numrun=seed
100	2	67	5403	4325	numrun=seed
100	2	68	5571	6723	numrun=seed
100	2	69	5558	6675	numrun=seed
100	2	70	5466	5827	numrun=seed
100	2	71	5523	6916	numrun=seed
100	2	72	5569	4998	numrun=seed
100	2	73	5589	4195	numrun=seed
100	2	74	5512	5297	numrun=seed
100	2	75	5348	5196	numrun=seed
100	2	76	5464	6087	numrun=seed
100	2	77	5459	6748	numrun=seed
100	2	78	5512	5389	numrun=seed
100	2	79	5442	6838	numrun=seed
100	2	80	5398	6011	numrun=seed
100	2	81	5314	4814	numrun=seed
100	2	82	5505	5236	numrun=seed
100	2	83	5561	5598	numrun=seed
100	2	84	5364	4724	numrun=seed
100	2	85	5422	6242	numrun=seed
100	2	86	5506	5654	numrun=seed
100	2	87	5510	5086	numrun=seed
100	2	88	5493	5025	numrun=seed
100	2	89	5490	6622	numrun=seed
100	2	90	5504	5150	numrun=seed
100	2	91	5512	5378	numrun=seed
100	2	92	5529	6071	numrun=seed
100	2	93	5489	5336	numrun=seed
100	2	94	5565	4400	numrun=seed
100	2	95	5585	4594	numrun=seed
100	2	96	5535	4745	numrun=seed
100	2	97	5437	5684	numrun=seed
100	2	98	5443	5490	numrun=seed
100	2	99	5507	6191	numrun=seed
100	2	100	5403	5527	numrun=seed
100	2	101	5547	6000	numrun=seed
100	2	102	5473	4623	numrun=seed
100	2	103	5497	5063	numrun=seed
100	2	104	5398	5669	numrun=seed
100	2	105	5358	5765	numrun=seed
100	2	106	5395	5508	numrun=seed
100	2	107	5465	5098	numrun=seed
100	2	108	5469	6752	numrun=seed
100	2	109	5542	4780	numrun=seed
100	2	110	5437	6304	numrun=seed
100	2	111	5460	5147	numrun=seed
100	2	112	5433	6406	numrun=seed
100	2	113	5227	5985	numrun=seed
100	2	114	5532	6786	numrun=seed
100	2	115	5428	5954	numrun=seed
100	2	116	5523	6022	numrun=seed
100	2	117	5505	6742	numrun=seed
100	2	118	5551	6137	numrun=seed
100	2	119	5435	4833	numrun=seed
100	2	120	5404	5644	numrun=seed
100	2	121	5585	4848	numrun=seed
100	2	122	5539	5443	numrun=seed
100	2	123	5575	5532	numrun=seed
100	2	124	5426	5190	numrun=seed
100	2	125	5452	7035	numrun=seed
100	2	126	5450	5814	numrun=seed
100	2	127	5466	5421	numrun=seed
100	2	128	5585	6479	numrun=seed
100	2	129	5580	8683	numrun=seed
100	2	130	5485	5697	numrun=seed
100	2	131	5400	5064	numrun=seed
100	2	132	5494	4773	numrun=seed
100	2	133	5387	5874	numrun=seed
100	2	134	5575	4877	numrun=seed
100	2	135	5523	5731	numrun=seed
100	2	136	5589	5879	numrun=seed
100	2	137	5456	5411	numrun=seed
100	2	138	5448	5255	numrun=seed
100	2	139	5533	5344	numrun=seed
100	2	140	5483	5096	numrun=seed
100	2	141	5499	6660	numrun=seed
100	2	142	5479	6110	numrun=seed
100	2	143	5533	4699	numrun=seed
100	2	144	5584	4746	numrun=seed
100	2	145	5277	4112	numrun=seed
100	2	146	5484	5403	numrun=seed
100	2	147	5391	4851	numrun=seed
100	2	148	5582	6085	numrun=seed
100	2	149	5349	5145	numrun=seed
100	2	150	5584	5254	numrun=seed
100	2	151	5456	6727	numrun=seed
100	2	152	5575	6597	numrun=seed
100	2	153	5436	5440	numrun=seed
100	2	154	5560	5983	numrun=seed
100	2	155	5561	5385	numrun=seed
100	2	156	5558	6167	numrun=seed
100	2	157	5425	5489	numrun=seed
100	2	158	5582	5396	numrun=seed
100	2	159	5578	5461	numrun=seed
100	2	160	5449	6146	numrun=seed
100	2	161	5333	5158	numrun=seed
100	2	162	5558	6175	numrun=seed
100	2	163	5400	4385	numrun=seed
100	2	164	5561	5632	numrun=seed
100	2	165	5558	5325	numrun=seed
100	2	166	5560	5784	numrun=seed
100	2	167	5441	5487	numrun=seed
100	2	168	5411	4878	numrun=seed
100	2	169	5490	6050	numrun=seed
100	2	170	5453	5789	numrun=seed
100	2	171	5336	6360	numrun=seed
100	2	172	5517	6151	numrun=seed
100	2	173	5302	5409	numrun=seed
100	2	174	5467	5217	numrun=seed
100	2	175	5565	5915	numrun=seed
100	2	176	5450	4466	numrun=seed
100	2	177	5443	4984	numrun=seed
100	3	0	6451	5959	numrun=seed
100	3	1	6451	5381	numrun=seed
100	3	2	6216	6302	numrun=seed
100	3	3	6451	5018	numrun=seed
100	3	4	6358	5396	numrun=seed
100	3	5	6451	6477	numrun=seed
100	3	6	6416	5329	numrun=seed
100	3	7	6236	5650	numrun=seed
100	3	8	6449	5746	numrun=seed
100	3	9	6222	4985	numrun=seed
100	3	10	6451	5438	numrun=seed
100	3	11	6055	6414	numrun=seed
100	3	12	6449	6999	numrun=seed
100	3	13	6449	6872	numrun=seed
100	3	14	6418	4873	numrun=seed
100	3	15	6371	6338	numrun=seed
100	3	16	6416	4498	numrun=seed
100	3	17	6451	6035	numrun=seed
100	3	18	6327	6801	numrun=seed
100	3	19	6356	6136	numrun=seed
100	3	20	6445	6244	numrun=seed
100	3	21	6451	6482	numrun=seed
100	3	22	6371	5961	numrun=seed
100	3	23	6449	5120	numrun=seed
100	3	24	6162	5176	numrun=seed
100	3	25	6369	6249	numrun=seed
100	3	26	6057	5505	numrun=seed
100	3	27	6371	7944	numrun=seed
100	3	28	6451	5494	numrun=seed
100	3	29	6449	5284	numrun=seed
100	3	30	6315	4951	numrun=seed
100	3	31	6369	6537	numrun=seed
100	3	32	6478	6172	numrun=seed
100	3	33	6199	6588	numrun=seed
100	3	34	6422	5728	numrun=seed
100	3	35	6296	6660	numrun=seed
100	3	36	6338	6082	numrun=seed
100	3	37	6422	6773	numrun=seed
100	3	38	6422	7243	numrun=seed
100	3	39	6451	6194	numrun=seed
100	3	40	6478	5361	numrun=seed
100	3	41	6449	5653	numrun=seed
100	3	42	6451	5967	numrun=seed
100	3	43	6400	6396	numrun=seed
100	3	44	6451	6084	numrun=seed
100	3	45	6323	7399	numrun=seed
100	3	46	6478	5943	numrun=seed
100	3	47	6478	5058	numrun=seed
100	3	48	6418	6624	numrun=seed
100	3	49	6449	5812	numrun=seed
100	3	50	6391	6633	numrun=seed
100	3	51	6281	4938	numrun=seed
100	3	52	6445	5865	numrun=seed
100	3	53	6451	5806	numrun=seed
100	3	54	6449	8018	numrun=seed
100	3	55	6451	6757	numrun=seed
100	3	56	6418	5798	numrun=seed
100	3	57	6369	6161	numrun=seed
100	3	58	6260	5128	numrun=seed
100	3	59	6281	5824	numrun=seed
100	3	60	6327	5417	numrun=seed
100	3	61	6449	6592	numrun=seed
100	3	62	6330	5751	numrun=seed
100	3	63	6416	5914	numrun=seed
100	3	64	6449	5865	numrun=seed
100	3	65	6422	5926	numrun=seed
100	3	66	6478	5660	numrun=seed
100	3	67	6236	5852	numrun=seed
100	3	68	6361	4770	numrun=seed
100	3	69	6449	8033	numrun=seed
100	3	70	6249	4968	numrun=seed
100	3	71	6478	5360	numrun=seed
100	3	72	6422	7672	numrun=seed
100	3	73	6371	5473	numrun=seed
100	3	74	6451	6227	numrun=seed
100	3	75	6422	5389	numrun=seed
100	3	76	6449	3563	numrun=seed
100	3	77	6059	4351	numrun=seed
100	3	78	6478	5627	numrun=seed
100	3	79	6449	4645	numrun=seed
100	3	80	6449	6626	numrun=seed
100	3	81	6449	5496	numrun=seed
100	3	82	6343	5918	numrun=seed
100	3	83	6449	5206	numrun=seed
100	3	84	6369	6478	numrun=seed
100	3	85	6451	6464	numrun=seed
100	3	86	6449	6418	numrun=seed
100	3	87	6418	4803	numrun=seed
100	3	88	6449	5917	numrun=seed
100	3	89	6132	5487	numrun=seed
100	3	90	6356	5785	numrun=seed
100	3	91	6369	5178	numrun=seed
100	3	92	6422	6354	numrun=seed
100	3	93	6449	4793	numrun=seed
100	3	94	6451	5238	numrun=seed
100	3	95	6389	6747	numrun=seed
100	3	96	6356	5508	numrun=seed
100	3	97	6449	6469	numrun=seed
100	3	98	6391	5737	numrun=seed
100	3	99	6451	5188	numrun=seed
100	3	100	6451	6066	numrun=seed
100	3	101	6418	5723	numrun=seed
100	3	102	6478	6329	numrun=seed
100	3	103	6451	5789	numrun=seed
100	3	104	6478	6435	numrun=seed
100	3	105	6349	5521	numrun=seed
100	3	106	6478	6575	numrun=seed
100	3	107	6356	6338	numrun=seed
100	3	108	6199	5755	numrun=seed
100	3	109	6269	6309	numrun=seed
100	3	110	6418	6956	numrun=seed
100	3	111	6416	5478	numrun=seed
100	3	112	6422	6841	numrun=seed
100	3	113	6451	6353	numrun=seed
100	3	114	6369	4705	numrun=seed
100	3	115	6391	6060	numrun=seed
100	3	116	6449	6277	numrun=seed
100	3	117	6176	3929	numrun=seed
100	3	118	6451	5826	numrun=seed
100	3	119	5970	5540	numrun=seed
100	3	120	6418	5702	numrun=seed
100	3	121	6202	5828	numrun=seed
100	3	122	6356	5352	numrun=seed
100	3	123	6449	5848	numrun=seed
100	3	124	6451	6049	numrun=seed
100	3	125	6422	5293	numrun=seed
100	3	126	6478	6193	numrun=seed
100	3	127	6327	5660	numrun=seed
100	3	128	6478	4629	numrun=seed
100	3	129	6349	5540	numrun=seed
100	3	130	6449	5256	numrun=seed
100	3	131	6478	5400	numrun=seed
100	3	132	6418	6597	numrun=seed
100	3	133	6387	5119	numrun=seed
100	3	134	6449	4940	numrun=seed
100	3	135	6280	5355	numrun=seed
100	3	136	6445	6034	numrun=seed
100	3	137	6070	7516	numrun=seed
100	3	138	6478	6756	numrun=seed
100	3	139	6323	4896	numrun=seed
100	3	140	6391	6676	numrun=seed
100	3	141	6356	5406	numrun=seed
100	3	142	6302	5267	numrun=seed
100	3	143	6478	6700	numrun=seed
100	3	144	6449	7807	numrun=seed
100	3	145	6422	5632	numrun=seed
100	3	146	6327	7035	numrun=seed
100	3	147	6416	6076	numrun=seed
100	3	148	6449	4994	numrun=seed
100	3	149	6361	5199	numrun=seed
100	3	150	6451	6487	numrun=seed
100	3	151	6296	6988	numrun=seed
100	3	152	6387	5630	numrun=seed
100	3	153	6451	5986	numrun=seed
100	3	154	6478	5474	numrun=seed
100	3	155	6327	5892	numrun=seed
100	3	156	6416	6248	numrun=seed
100	3	157	6233	5346	numrun=seed
100	3	158	6418	5961	numrun=seed
100	3	159	5813	6052	numrun=seed
100	3	160	6451	6529	numrun=seed
100	3	161	6416	4339	numrun=seed
100	3	162	6118	6622	numrun=seed
100	3	163	6366	5370	numrun=seed
100	3	164	6451	5720	numrun=seed
100	3	165	6280	5162	numrun=seed
100	3	166	6451	7045	numrun=seed
100	3	167	6451	6171	numrun=seed
100	3	168	6317	5831	numrun=seed
100	4	0	5081	5553	numrun=seed
100	4	1	5149	5289	numrun=seed
100	4	2	5300	5553	numrun=seed
100	4	3	5158	4451	numrun=seed
100	4	4	5298	7321	numrun=seed
100	4	5	5227	6370	numrun=seed
100	4	6	5301	5374	numrun=seed
100	4	7	5058	3878	numrun=seed
100	4	8	5253	5955	numrun=seed
100	4	9	5127	6454	numrun=seed
100	4	10	5226	5683	numrun=seed
100	4	11	5168	5450	numrun=seed
100	4	12	5159	7869	numrun=seed
100	4	13	5160	5076	numrun=seed
100	4	14	5301	6075	numrun=seed
100	4	15	5205	6364	numrun=seed
100	4	16	5301	5000	numrun=seed
