N	K	numinstance	numrun	budget	fitness	comment
50	2	0	4	10000	0.7415219999999999	numrun=seeds%10
50	2	0	5	10000	0.7440779999999999	numrun=seeds%10
50	2	0	6	10000	0.7496200000000001	numrun=seeds%10
50	2	0	7	10000	0.752404	numrun=seeds%10
50	2	0	8	10000	0.733518	numrun=seeds%10
50	2	0	9	10000	0.7516459999999999	numrun=seeds%10
50	2	0	0	100000	0.752404	numrun=seeds%10
50	2	0	1	100000	0.752404	numrun=seeds%10
50	2	0	2	100000	0.752404	numrun=seeds%10
50	2	0	3	100000	0.752404	numrun=seeds%10
50	2	0	4	100000	0.752404	numrun=seeds%10
50	2	0	5	100000	0.752404	numrun=seeds%10
50	2	0	6	100000	0.7516459999999999	numrun=seeds%10
50	2	0	7	100000	0.752404	numrun=seeds%10
50	2	0	8	100000	0.752404	numrun=seeds%10
50	2	0	9	100000	0.752404	numrun=seeds%10
50	2	0	0	1000000	0.752404	only one run (every seed)
50	2	1	0	10000	0.7599039999999999	numrun=seeds%10
50	2	1	1	10000	0.7599039999999999	numrun=seeds%10
50	2	1	2	10000	0.7566719999999999	numrun=seeds%10
50	2	1	3	10000	0.7599039999999999	numrun=seeds%10
50	2	1	4	10000	0.7559239999999999	numrun=seeds%10
50	2	1	5	10000	0.7562739999999999	numrun=seeds%10
50	2	1	6	10000	0.7599039999999999	numrun=seeds%10
50	2	1	7	10000	0.752294	numrun=seeds%10
50	2	1	8	10000	0.74971	numrun=seeds%10
50	2	1	9	10000	0.7566719999999999	numrun=seeds%10
50	2	1	0	100000	0.7599039999999999	numrun=seeds%10
50	2	1	1	100000	0.7599039999999999	numrun=seeds%10
50	2	1	2	100000	0.7599039999999999	numrun=seeds%10
50	2	1	3	100000	0.7599039999999999	numrun=seeds%10
50	2	1	4	100000	0.7566719999999999	numrun=seeds%10
50	2	1	5	100000	0.7599039999999999	numrun=seeds%10
50	2	1	6	100000	0.7599039999999999	numrun=seeds%10
50	2	1	7	100000	0.7599039999999999	numrun=seeds%10
50	2	1	8	100000	0.7599039999999999	numrun=seeds%10
50	2	1	9	100000	0.7599039999999999	numrun=seeds%10
50	2	1	0	1000000	0.7599039999999999	only one run (every seed)
50	2	2	0	10000	0.74	numrun=seeds%10
50	2	2	1	10000	0.74	numrun=seeds%10
50	2	2	2	10000	0.734162	numrun=seeds%10
50	2	2	3	10000	0.74	numrun=seeds%10
50	2	2	4	10000	0.737128	numrun=seeds%10
50	2	2	5	10000	0.734162	numrun=seeds%10
50	2	2	6	10000	0.74	numrun=seeds%10
50	2	2	7	10000	0.721812	numrun=seeds%10
50	2	2	8	10000	0.737128	numrun=seeds%10
50	2	2	9	10000	0.74	numrun=seeds%10
50	2	2	0	100000	0.74	numrun=seeds%10
50	2	2	1	100000	0.74	numrun=seeds%10
50	2	2	2	100000	0.74	numrun=seeds%10
50	2	2	3	100000	0.74	numrun=seeds%10
50	2	2	4	100000	0.74	numrun=seeds%10
50	2	2	5	100000	0.74	numrun=seeds%10
50	2	2	6	100000	0.74	numrun=seeds%10
50	2	2	7	100000	0.74	numrun=seeds%10
50	2	2	8	100000	0.74	numrun=seeds%10
50	2	2	9	100000	0.74	numrun=seeds%10
50	2	2	0	1000000	0.74	only one run (every seed)
50	2	3	0	10000	0.753994	numrun=seeds%10
50	2	3	1	10000	0.755772	numrun=seeds%10
50	2	3	2	10000	0.755128	numrun=seeds%10
50	2	3	3	10000	0.7603759999999999	numrun=seeds%10
50	2	3	4	10000	0.755128	numrun=seeds%10
50	2	3	5	10000	0.759176	numrun=seeds%10
50	2	3	6	10000	0.755792	numrun=seeds%10
50	2	3	7	10000	0.759176	numrun=seeds%10
50	2	3	8	10000	0.760034	numrun=seeds%10
50	2	3	9	10000	0.760034	numrun=seeds%10
50	2	3	0	100000	0.7603759999999999	numrun=seeds%10
50	2	3	1	100000	0.7603759999999999	numrun=seeds%10
50	2	3	2	100000	0.7603759999999999	numrun=seeds%10
50	2	3	3	100000	0.7603759999999999	numrun=seeds%10
50	2	3	4	100000	0.7603759999999999	numrun=seeds%10
50	2	3	5	100000	0.7603759999999999	numrun=seeds%10
50	2	3	6	100000	0.7603759999999999	numrun=seeds%10
50	2	3	7	100000	0.7603759999999999	numrun=seeds%10
50	2	3	8	100000	0.7603759999999999	numrun=seeds%10
50	2	3	9	100000	0.7603759999999999	numrun=seeds%10
50	2	3	0	1000000	0.7603759999999999	only one run (every seed)
50	2	4	0	10000	0.745072	numrun=seeds%10
50	2	4	1	10000	0.756618	numrun=seeds%10
50	2	4	2	10000	0.755012	numrun=seeds%10
50	2	4	3	10000	0.756618	numrun=seeds%10
