N	K	numinstance	numrun	budget	fitness	comment
50	0	1	9	100000	0.670428	seed=numrun*10^6
50	0	2	9	10000	0.670428	seed=numrun*10^6
50	0	2	9	100000	0.670428	seed=numrun*10^6
50	0	3	9	10000	0.670428	seed=numrun*10^6
50	0	3	9	100000	0.670428	seed=numrun*10^6
50	0	4	9	10000	0.670428	seed=numrun*10^6
50	0	4	9	100000	0.670428	seed=numrun*10^6
50	0	5	9	10000	0.670428	seed=numrun*10^6
50	0	5	9	100000	0.670428	seed=numrun*10^6
50	0	6	9	10000	0.670428	seed=numrun*10^6
50	0	6	9	100000	0.670428	seed=numrun*10^6
50	0	7	9	10000	0.670428	seed=numrun*10^6
50	0	7	9	100000	0.670428	seed=numrun*10^6
50	0	8	9	10000	0.670428	seed=numrun*10^6
50	0	8	9	100000	0.670428	seed=numrun*10^6
50	0	9	9	10000	0.670428	seed=numrun*10^6
50	0	9	9	100000	0.670428	seed=numrun*10^6
50	1	0	0	10000	0.686072	seed=numrun*10^6
50	1	0	0	100000	0.686072	seed=numrun*10^6
50	1	0	0	1000000	0.686072	seed=numrun*10^6
50	1	1	0	10000	0.686072	seed=numrun*10^6
50	1	1	0	100000	0.686072	seed=numrun*10^6
50	1	1	0	1000000	0.686072	seed=numrun*10^6
50	1	2	0	10000	0.686072	seed=numrun*10^6
50	1	2	0	100000	0.686072	seed=numrun*10^6
50	1	2	0	1000000	0.686072	seed=numrun*10^6
50	1	3	0	10000	0.686072	seed=numrun*10^6
50	1	3	0	100000	0.686072	seed=numrun*10^6
50	1	3	0	1000000	0.686072	seed=numrun*10^6
50	1	4	0	10000	0.686072	seed=numrun*10^6
50	1	4	0	100000	0.686072	seed=numrun*10^6
50	1	4	0	1000000	0.686072	seed=numrun*10^6
50	1	5	0	10000	0.686072	seed=numrun*10^6
50	1	5	0	100000	0.686072	seed=numrun*10^6
50	1	5	0	1000000	0.686072	seed=numrun*10^6
50	1	6	0	10000	0.686072	seed=numrun*10^6
50	1	6	0	100000	0.686072	seed=numrun*10^6
50	1	6	0	1000000	0.686072	seed=numrun*10^6
50	1	7	0	10000	0.686072	seed=numrun*10^6
50	1	7	0	100000	0.686072	seed=numrun*10^6
50	1	7	0	1000000	0.686072	seed=numrun*10^6
50	1	8	0	10000	0.686072	seed=numrun*10^6
50	1	8	0	100000	0.686072	seed=numrun*10^6
50	1	8	0	1000000	0.686072	seed=numrun*10^6
50	1	9	0	10000	0.686072	seed=numrun*10^6
50	1	9	0	100000	0.686072	seed=numrun*10^6
50	1	9	0	1000000	0.686072	seed=numrun*10^6
50	1	0	1	10000	0.68596	seed=numrun*10^6
50	1	0	1	100000	0.686072	seed=numrun*10^6
50	1	1	1	10000	0.68596	seed=numrun*10^6
50	1	1	1	100000	0.686072	seed=numrun*10^6
50	1	2	1	10000	0.68596	seed=numrun*10^6
50	1	2	1	100000	0.686072	seed=numrun*10^6
50	1	3	1	10000	0.68596	seed=numrun*10^6
50	1	3	1	100000	0.686072	seed=numrun*10^6
50	1	4	1	10000	0.68596	seed=numrun*10^6
50	1	4	1	100000	0.686072	seed=numrun*10^6
50	1	5	1	10000	0.68596	seed=numrun*10^6
50	1	5	1	100000	0.686072	seed=numrun*10^6
50	1	6	1	10000	0.68596	seed=numrun*10^6
50	1	6	1	100000	0.686072	seed=numrun*10^6
50	1	7	1	10000	0.68596	seed=numrun*10^6
50	1	7	1	100000	0.686072	seed=numrun*10^6
50	1	8	1	10000	0.68596	seed=numrun*10^6
50	1	8	1	100000	0.686072	seed=numrun*10^6
50	1	9	1	10000	0.68596	seed=numrun*10^6
50	1	9	1	100000	0.686072	seed=numrun*10^6
50	1	0	2	10000	0.686072	seed=numrun*10^6
50	1	0	2	100000	0.686072	seed=numrun*10^6
50	1	1	2	10000	0.686072	seed=numrun*10^6
50	1	1	2	100000	0.686072	seed=numrun*10^6
50	1	2	2	10000	0.686072	seed=numrun*10^6
50	1	2	2	100000	0.686072	seed=numrun*10^6
50	1	3	2	10000	0.686072	seed=numrun*10^6
